kegiatan,jenis_kegiatan,waktu,lokasi,jumlah_peserta,keterangan
Penggerak Olahraga,Permainan Olahraga Tradisional dan  Street Scocer" Kids Atletik Fundamental Movement",2018-02-04,BKT Duren Sawit Jakarta Timur,100,Festival Olahraga Di Masyarakat
Penggerak Olahraga,Permainan Olahraga Berkelompok Permainan Futsal,2018-02-05,RPTRA AKASIA Tebet Dalam Jakarta selatan,170,Festival Olahraga Di Masyarakat
Penggerak Olahraga,"Permainan Olahraga Futsal " Kid Athletics Fundamental Movement",2018-02-07,Lap. Ditbang TNI AD Jakarta Timur,163,Festival Olahraga Di Masyarakat
Penggerak Olahraga,"Permainan Olahraga Futsal " Kid Athletics Fundamental Movement",2018-02-09,RPTRA Krendeng Tambora Jakarta Barat,210,Festival Olahraga Di Masyarakat
Penyediaan Instruktur dan Pelatih Olahraga Tingkat DKI,Senam Kebugaran Jasmani DKI,2018-02-02,Dinas Pemuda dan Olahraga DKI,85,Senam 
Penyediaan Instruktur dan Pelatih Olahraga Tingkat DKI,Senam Kebugaran Jasmani DKI,2018-02-02,Dinas Perumahan DKI,85,Senam 
Penyediaan Instruktur dan Pelatih Olahraga Tingkat DKI,Senam Kebugaran Jasmani DKI,2018-02-02,Dinas Kehutanan DKI,85,Senam 
Penyediaan Instruktur dan Pelatih Olahraga Tingkat DKI,Senam Kebugaran Jasmani DKI,2018-02-09,Dinas Pemuda dan Olahraga DKI,85,Senam 
Penyediaan Instruktur dan Pelatih Olahraga Tingkat DKI,Senam Kebugaran Jasmani DKI,2018-02-09,Dinas Perumahan DKI,85,Senam 
Penyediaan Instruktur dan Pelatih Olahraga Tingkat DKI,Senam Kebugaran Jasmani DKI,2018-02-09,Dinas Kehutanan DKI,85,Senam 
Penyediaan Instruktur dan Pelatih Olahraga Tingkat DKI,Senam Kebugaran Jasmani DKI,2018-02-23,Dinas Pemuda dan Olahraga DKI,85,Senam 
Penyediaan Instruktur dan Pelatih Olahraga Tingkat DKI,Senam Kebugaran Jasmani DKI,2018-02-23,Dinas Perumahan DKI,85,Senam 
Penyediaan Instruktur dan Pelatih Olahraga Tingkat DKI,Senam Kebugaran Jasmani DKI,2018-02-23,Dinas Kehutanan DKI,85,Senam 
Ikatan Alumni Gizi UI Partisipan acara HBKB,Perayaan Hari Gizi Nasional  dengan kegiatan Senam dan Public Launcing ILUNI Gizi UI,2018-02-11,Jl. Sudirman- Jl MH. Thamrin Dukuh Atas Sisi Barat,30,Senam 
Sekolah Binus Simprug Partisipan acara HBKB,Konsultasi kesehatan Gratis "FUN RUN Dengan Hati",2018-02-11,Jl. Sudirman- Jl.MH. Thamrin Dukuh atas Sisi Barat,260,FUN RUN 5 Km dan Senam jantung Sehat
Peduli Jilbab Partisipan Acara HBKB,Gemar 2018"Tandatangan Jilbab Long March ",2018-02-11,Jl. Sudirman-Jl. MH Thamrin Depan BPPT Kebon Sirih,500,Gemar 2018 "Senam"
Kementerian Sosial Partisipan HBKB,"Penyuluhan Sosial dengan Mobil anti galau tentang narkoba""pornografi dan permasalahan social"" konsultasi gratis dan layanan sosial anak dan lomba mewarnai serta senam",2018-02-11,Jl. Sudirman-Jl. MH Thamrin Dukuh Atas Sisi Barat Depan BNI 46,10,Senam Aerobic 
FBOComunity Bersama Bumiputera Partisipan HBKB,Pre-event Run bersama Bumi Putra ,2018-02-11,Jl. Sudirman-Jl. MH Thamrin Depan UOB,15,Pre Event Run
Komunitas KIN dan Prasmul Olympic Partisipan HBKB,Jalan Santai dan Perkenalan Produk Kin Bulgarian,2018-02-11,Jl. Sudirman-Jl. MH Thamrin Depan Sarinah,40,Jalan Santai
PT Dishandra Mahardika Partisipan HBKB,FUN WALK Sehat bersama BTN,2018-02-11,Jl. Sudirman-Jl. MH Thamrin Depan Kantor BTN,3000,FUN WALK 
Direktorat Pembinaan Kesehatan," Direktorat Jendral Perhubungan Darat Kementrian Perhubungan RI Partisipan HBKB "Kampanye Keselamatan Transportasi Darat dan Senam Bersama",2018-02-18,Jl. Imam Bonjol,3000,Senam
Komunitas KIN dan Prasmul Olympic Partisipan HBKB,Jalan Sehat dan Perkenalan Produk Yogurt,2018-02-18,Sarinah HI,40,Jalan Sehat 
Runner Community Partisipan HBKB ,Runner community untuk amal,2018-02-18,Jl. Sudirman-Jl. MH Thamrin Dukuh Atas  sisi Barat,40,Runner Community 
LSM Bersinar Pusat Partisipan HBKB,Senam dan sosialisasi Obat dan makan KIE bersama HUT BPOM,2018-02-25,Jl. Imam Bonjol,500,Senam dan Sosialisasi Obat
Bank Mandiri Syariah Partisipan HBKB,Sunday Morning CFD "Senam",2018-02-25,Areal Bank Mandiri Syariah,100,Senam
Bans Radio Partisipan HBKB ,Sosialisasi Film Benyamin Biangkerok,2018-02-25,Jl. Sudirman-Jl. MH Thamrin Dukuh Atas  sisi Timur,100,Senam dan Parade Budaya Betawi
FORMI Jakarta bersama biskuit partisipan HBKB,Senam Sehat bersama biskuit,2018-02-25,Jl. Sudirman-Jl. MH Thamrin Dukuh Atas  sisi Timur,100,Senam
Bulungan 70 83 Partisipan HBKB,5K Walk For Fun,2018-02-25,Jl. Jend sudirman depan hotel Sahid,150,5K Walk For Fun
FORMI Jakarta Timur Klub Jantung Sehat,Senam rutin Harian,2018-02,Di 48 Kelurahan dan 8 Kecamatan,7200,240 Kegiatan 
FORMI Jakarta Timur Senam Tera Indonesia,Senam rutin Harian,2018-02,Di 60 Kelurahan dan 10 Kecamatan,6450,215 Kegiatan Senam Tera Indo
FORMI Jakarta Timur PORPI,Senam rutin Harian,2018-02,Di 50 Kelurahan dan 9 Kecamatan,4830,153 Kegiatan Senam
Formi Jakarta Timur Senam Sehat INA,Senam rutin Harian,2018-02,Di 3 Kelurahan dan 1 Kecamatan,160,8 Kegiatan
HBKB/CFD Jakarta Timur,Kegiatan Bulanan,2018-02,Di 60 Kelurahan dan 10 Kecamatan,500,1 Kegiatan
ILDI Jakarta Timur,Jaming/Latihan,2018-02,Di 3 Kelurahan dan 1 Kecamatan,480,4 Kegiatan
FORMI Jakarta Selatan Klub Jantung Sehat,Senam rutin Harian,2018-02,Di 48 Kelurahan dan 8 Kecamatan,8000,400 Kegiatan
FORMI Jakarta Selatan Klub Senam Tera Indonesia,Senam rutin Harian,2018-02,Di 60 Kelurahan dan 10 Kecamatan,9500,380 Kegiatan
FORMI Jakarta Selatan PORPI,Senam rutin Harian,2018-02,Di 9 Kelurahan dan 3 Kecamatan,5000,200 Kegiatan
FORMI Jakarta Selatan Klub Senam Sehat Indonesia,Senam rutin Harian,2018-02,Di 3 Kelurahan dan 1 Kecamatan,180,6 Kegiatan
FORMI Jakarta Utara Klub Jantung sehat,Senam rutin Harian,2018-02,Di 15 Kelurahan dan 5 Kecamatan,7850,157 Kegiatan
FORMI Jakarta Utara Senam Tera Indonesia,Senam rutin Harian,2018-02,Di  17 Kelurahan dan 4 Kecamatan,5250,150 Kegiatan
FORMI Jakarta Utara PORPI,Senam rutin Harian,2018-02,Di 16 Kelurahan dan 4 Kecamatan,6510,186 Kegiatan
FORMI Jakarta Utara APPSBI/PENCAK SILAT,Latiahan Mingguan,2018-02,Di 20 Kelurahan dan 6 Kecamatan,3200,160 kegiatan
FORMI Jakarta Utara BARONGSAI/PLBSI,Kegiatan Mingguan,2018-02,Di 4 Kelurahan dan 2 Kecamatan,180,9 kegiatan
FORMI Jakarta Utara /ILDI,Jaming/Latihan,2018-02,Di 6 Kelurahan dan 6 Kecamatan,225,9 kegiatan
FORMI Jakarta Utara PENATARAN SKJ KITA BISA,Pelatihan Bulanan,2018-02,Di 31 Kelurahan dan 6 Kecamatan,204,1 Kegiatan
FORMI Jakarta Utara Senam Sehat Indonesia,Senam rutin Harian,2018-02,Di 2 Kelurahan dan 2 Kecamatan,200,10 Kegiatan
FORMI Jakarta Pusat Yayasan Jantung sehat,Senam rutin Harian,2018-02,Di 37 Kelurahan dan 8 kecamatan,8070,269 Kegiatan
FORMI Jakarta Pusat Senam Tera Indonesia,Senam rutin Harian,2018-02,Di 1 Kelurahan dan 1 kecamatan,360,12 Kegiatan
FORMI Jakarta Pusat ILDI,Jaming/Latihan,2018-02,Di 3 Kelurahan dan 2 Kecamatan,540,18 Kegiatan
FORMI Jakarta Pusat PORPI,Senam rutin Harian,2018-02,Di 5 Kelurahan dan 3 Kecamatan,1200,40 Kegiatan
FORMI Jakarta Pusat ASIAFI (AEROBIC),Senam rutin Harian,2018-02,Di 8 kelurahan dan 8 Kecamatan,960,32 Kegiatan
FORMI Jakarta Pusat SUDIN PORA,Senam rutin Harian,2018-02,Di 30 Kelurahan dan 8 Kecamatan,400,1 Kegiatan
FORMI Jakarta Barat Klub Jantung Sehat,Senam rutin Harian,2018-02,Di 24 kelurahan dan 7 kecamatan,8460,282 Kegiatan
FORMI Jakarta Barat Senam Tera Indonesia,Senam rutin Harian,2018-02,Di 20 Kelrahan dan 6 kecamatan,7050,235 Kegiatan
FORMI Jakarta Barat ILDI,Jaming/Latihan,2018-02,Di 6 Kelurahan dan 6 Kecamatan,500,20 Kegiatan
FORMI Jakarta Barat PORPI,Senam rutin Harian,2018-02,Di 26 kelurahan dan 7 Kecamatan,6000,200 Kegiatan
FORMI Jakarta Barat APPSBI,Latihan Rutin,2018-02,Di 20 Kelurahan dan 8 Kecamatan,3140,157 Kegiatan
